FechaPublicacion,Etapa,FechaInicio,FechaFin,Caso,NombreCaso,CodigoAreaOperativa,AportesProyectados,AnioEstudio,SemanaEstudio
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0010,170885712.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Promedio,Are0010,290804288.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso4,HEsperado,Are0128,46515400.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso2,H14-16,Are0128,26573598.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso1,H93-95,Are0128,48851884.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso3,H91-93,Are0128,27742222.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso5,HContingencia,Are0128,33586800.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0128,28263052.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0128,28263052.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Promedio,Are0128,44657476.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso4,HEsperado,Are0056,86125160.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso2,H14-16,Are0056,59009884.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso1,H93-95,Are0056,57348628.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso3,H91-93,Are0056,23495294.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso5,HContingencia,Are0056,82454944.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0056,35949480.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0056,35949480.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Promedio,Are0056,75679944.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso4,HEsperado,Are0012,25018572.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso2,H14-16,Are0012,7109428.5,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso1,H93-95,Are0012,29561428.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso3,H91-93,Are0012,13075143.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso5,HContingencia,Are0012,16147143.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0012,9177857.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0012,9177857.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Promedio,Are0012,23581762.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso4,HEsperado,Are0002,178382432.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso2,H14-16,Are0002,96417184.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso1,H93-95,Are0002,144746752.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso3,H91-93,Are0002,96845888.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Caso5,HContingencia,Are0002,85496632.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0002,64731000.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0002,64731000.0,2024,52
2024-12-29,22,2025-05-26,2025-06-01,Estocastico,Promedio,Are0002,141966416.0,2024,52
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0127,1795714.25,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0127,1795714.25,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Promedio,Are0127,5059017.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso2,H15-17,Are0127,4572714.5,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso1,H94-96,Are0127,5379714.5,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso4,HEsperado,Are0127,4882714.5,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso3,H92-94,Are0127,2673571.5,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso5,HContingencia,Are0127,4641857.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0010,468342848.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Percentil 5,Are0010,174342864.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Promedio,Are0010,300793856.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso2,H15-17,Are0010,193742864.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso1,H94-96,Are0010,286357152.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso4,HEsperado,Are0010,337757152.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso3,H92-94,Are0010,164314288.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Caso5,HContingencia,Are0010,222400000.0,2025,2
2025-01-14,20,2025-05-26,2025-06-01,Estocastico,Percentil 95,Are0128,27988700.0,2025,2
