CodigoVariable,CodigoDuracion,UnidadMedida,CodigoSICAgente,CodigoPlanta,Version
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EEPG,2UP2,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EPSG,3BZB,TXR
GReal,PT1H,kWh,EBSG,3DSO,TXR
GReal,PT1H,kWh,EBSG,3DSO,TXR
GReal,PT1H,kWh,EBSG,3DSO,TXR
GReal,PT1H,kWh,EBSG,3DSO,TXR
