FechaPublicacion,Etapa,FechaInicio,FechaFin,Caso,NombreCaso,CodigoAreaOperativa,AportesProyectados,AnioEstudio,MesEstudio
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,28518606.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,45685312.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,48008904.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,273021760.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,143896000.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,192000000.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,48008904.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4266581.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,9804516.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,21266188.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,9804516.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,45685312.0,2022,11
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,37724868.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,61360660.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,43097192.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Promedio,Are0010,277200384.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,2013548.375,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,8491613.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,22794288.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,27474852.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,391967744.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,423741920.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,140322320.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,24357406.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,135836096.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,18965678.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,42164720.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,3361900.75,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,81303552.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,7743226.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,8491613.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,1820000.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,7743226.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,36552496.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,43097192.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,2013548.375,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,81303552.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,170264512.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,176167744.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4458918.5,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0128,24357406.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0128,27474852.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,67460600.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0002,78886136.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0002,78886136.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,256076704.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,37724868.0,2022,5
2023-10-09,37,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,1820000.0,2022,5
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,41299236.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,192161296.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,2233483.75,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,68629160.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,146359376.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,2233483.75,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,2378903.25,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,10526452.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,426387104.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,46276652.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,192709680.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0002,77074416.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,76966216.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,69420880.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,145037472.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0002,77074416.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,45401228.0,2023,3
